추출된_죄목,빈도수
위헌법률심판제청신청,11
산림법위반,11
컴퓨터프로그램보호법위반,11
도주,11
정당법위반,11
학원의설립·운영및과외교습에관한법률위반,11
수질환경보전법위반,11
미성년자의제강간,11
부정사용공기호행사,11
산지관리법위반,11
공용물건 손상,11
국가기술자격법위반,11
도로 교통법 위반,11
군인등강제추행,11
스토킹범죄의처벌등에관한법률위반,11
세무사법위반,10
강제추행치상,10
손해배상,10
항소기각결정에대한재항고,10
도박,10
허위진단서작성,10
주식회사의외부감사에관한법률위반,10
강도강간,10
폭력행위등처벌에 관한 법률 위반,10
퇴거불응,10
재심기각결정에대한재항고,10
뇌물 공여,10
근로기준법 위반,10
상관모욕,10
특수폭행,10
